positive results,0.78475
plans,0.4641
ongoing effort,0.4641
solid growth,0.610837
same-store sales increase,-0.62718
flat performance,-0.323662
sales growth,0.488153
good start,0.78475
store network,0.4641
Total company sales,-0.323662
focus,0.556049
quarter same store,-0.286525
expectations.,0.610837
recent store closures,-0.62718
mid-single digits,-0.286525
customer acquisition,0.798018
operational execution,0.8202
shareholder returns,0.74056
spring season,0.78475
modest increase,0.488153
continuous merchandise improvements,0.556049
American Eagle brand,0.610837
strong results,0.8202
American Eagle,0.610837
operations,0.798018
quarter,-0.305094
